pubchem id,common name,flavor profile
4,1-Aminopropan-2-ol,{'fishy'}
49,3-Methyl-2-oxobutanoic acid,{'fruity'}
58,2-oxobutanoic acid,"{'sweet', 'creamy', 'brown', 'caramel', 'lactonic'}"
70,4-Methyl-2-oxovaleric acid,{'fruity'}
72,"3,4-Dihydroxybenzoic Acid","{'phenolic', 'balsamic', 'mild'}"
107,3-Phenylpropanoic acid,"{'rose', 'musk', 'sweet', 'fatty', 'cinnamon', 'balsamic'}"
126,4-hydroxybenzaldehyde,"{'almond', 'sweet', 'nutty', 'balsam', 'woody'}"
135,4-Hydroxybenzoic Acid,"{'phenolic', 'nutty'}"
177,acetaldehyde,"{'ether', 'pungent', 'aldehydic', 'fruity', 'ethereal', 'whiskey'}"
179,acetoin,"{'butter', 'sweet', 'fatty', 'creamy', 'buttery', 'cream', 'milky', 'dairy'}"
180,acetone,"{'apple', 'pear', 'solvent', 'ethereal'}"
240,benzaldehyde,"{'almond', 'sweet', 'cherry', 'bitter', 'sharp', 'burnt sugar', 'strong'}"
243,benzoic acid,"{'faint', 'balsam', 'urine'}"
244,benzyl alcohol,"{'rose', 'sweet', 'walnut', 'flower', 'cherry', 'phenolic', 'grapefruit', 'balsamic', 'floral', 'berry'}"
247,betaine,{'bland'}
261,butyraldehyde,"{'creamy', 'vegetable', 'pear', 'green', 'meaty', 'herbaceous', 'earthy', 'chocolate', 'fruity', 'floral', 'citrus', 'musty', 'fatty', 'bready', 'nutty', 'malty', 'spicy', 'apple', 'cocoa', 'pungent', 'wine_like', 'woody'}"
263,1-butanol,"{'sweet', 'medicinal', 'medicine', 'balsam', 'oil', 'fusel', 'fruit', 'vanilla'}"
264,butyric acid,"{'butter', 'sweat', 'cheese', 'acetic', 'sharp', 'rancid', 'fruit'}"
284,formic acid,"{'formyl', 'pungent', 'vinegar'}"
323,coumarin,"{'tonka', 'sweet', 'green', 'new mown hay', 'bitter'}"
325,4-isopropylbenzyl alcohol,"{'herb', 'leather', 'cumin', 'caraway', 'wood', 'spicy', 'strong', 'herbal'}"
326,4-isopropylbenzaldehyde,"{'green', 'acid', 'oily', 'cumin', 'sharp', 'spicy', 'herbal'}"
332,2-Methoxy-4-vinylphenol,"{'peanut', 'clove', 'curry', 'spicy', 'smoky'}"
335,o-cresol,"{'phenolic', 'phenol', 'musty', 'medicinal'}"
338,salicylic acid,"{'phenolic', 'nutty', 'faint'}"
342,m-cresol,"{'medical', 'plastic', 'fecal', 'medicinal', 'phenolic', 'leather', 'woody'}"
379,octanoic acid,"{'waxy', 'sweat', 'fatty', 'vegetable', 'oily', 'cheese', 'cheesy', 'rancid'}"
402,hydrogen sulfide,"{'egg', 'rotten'}"
454,Octanal,"{'citrus', 'fat', 'waxy', 'lemon', 'fatty', 'orange peel', 'green', 'aldehydic', 'soap'}"
460,guaiacol,"{'smoke', 'sweet', 'medicinal', 'phenolic', 'spice', 'medicine', 'smoky', 'woody', 'vanilla'}"
527,Propionaldehyde,"{'alcohol', 'wine', 'solvent', 'cocoa', 'nutty', 'earthy', 'pungent', 'whiskey'}"
602,Dl-Alanine,{'odorless'}
612,lactic acid,{'odorless'}
